140.37138,140.37138
34.431015,34.431015
34.51142,34.51142
34.54035,34.54035
34.58007,34.58007
34.62848,34.62848
34.682762,34.682762
34.73989,34.73989
34.79694,34.79694
34.85145,34.85145
34.90172,34.90172
34.946747,34.946747
34.98619,34.98619
35.020195,35.020195
35.049187,35.049187
35.073753,35.073753
35.094536,35.094536
35.112183,35.112183
35.127235,35.127235
35.14022,35.14022
35.15154,35.15154
35.161545,35.161545
35.170536,35.170536
35.178738,35.178738
35.18634,35.18634
35.193466,35.193466
35.200264,35.200264
35.206795,35.206795
35.213158,35.213158
35.21939,35.21939
35.225544,35.225544
35.23165,35.23165
35.237736,35.237736
35.243828,35.243828
35.24994,35.24994
35.25608,35.25608
35.262268,35.262268
35.2685,35.2685
35.274788,35.274788
35.28114,35.28114
35.287567,35.287567
35.29406,35.29406
35.30062,35.30062
35.307266,35.307266
35.31398,35.31398
35.320778,35.320778
35.327667,35.327667
35.33464,35.33464
35.341698,35.341698
35.34884,35.34884
35.356064,35.356064
35.36338,35.36338
35.37079,35.37079
35.37829,35.37829
35.38588,35.38588
35.393555,35.393555
35.401344,35.401344
35.409218,35.409218
35.4172,35.4172
35.42527,35.42527
35.43345,35.43345
35.44171,35.44171
35.45009,35.45009
35.458565,35.458565
35.467155,35.467155
35.47583,35.47583
35.48463,35.48463
35.493523,35.493523
35.502533,35.502533
35.51165,35.51165
35.52088,35.52088
35.530224,35.530224
35.539684,35.539684
35.549244,35.549244
35.55893,35.55893
35.568733,35.568733
35.57866,35.57866
35.5887,35.5887
35.598846,35.598846
35.609135,35.609135
35.619537,35.619537
35.630066,35.630066
35.640717,35.640717
35.651497,35.651497
35.66242,35.66242
35.673447,35.673447
35.68462,35.68462
35.695923,35.695923
35.707355,35.707355
35.71891,35.71891
35.730614,35.730614
35.742447,35.742447
35.754433,35.754433
35.76655,35.76655
35.7788,35.7788
35.7912,35.7912
35.803734,35.803734
35.81643,35.81643
35.829254,35.829254
35.842236,35.842236
35.855354,35.855354
35.86862,35.86862
35.882042,35.882042
35.895626,35.895626
35.909348,35.909348
35.923233,35.923233
35.93726,35.93726
35.951447,35.951447
35.96581,35.96581
35.9803,35.9803
35.99498,35.99498
36.009796,36.009796
36.024796,36.024796
36.039944,36.039944
36.05526,36.05526
36.070732,36.070732
36.086395,36.086395
36.102196,36.102196
36.118202,36.118202
36.134346,36.134346
36.150665,36.150665
36.167168,36.167168
36.18383,36.18383
36.20067,36.20067
